Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
22821,NexGen Systems,Search,Men 25-34,30 days,YouTube,0.03,"$5,482.00",6.38,Chicago,French,782,9074,8,Foodies,2021-07-10
22822,Alpha Innovations,Influencer,Men 18-24,30 days,YouTube,0.1,"$11,991.00",2.54,New York,German,568,4698,2,Health & Wellness,2021-07-11
22823,Innovate Industries,Search,All Ages,45 days,Website,0.11,"$12,279.00",7.3,Chicago,English,944,5185,3,Tech Enthusiasts,2021-07-12
22824,DataTech Solutions,Social Media,All Ages,45 days,Facebook,0.02,"$16,270.00",4.52,Houston,French,987,5555,7,Health & Wellness,2021-07-13
22825,DataTech Solutions,Display,Men 18-24,60 days,Google Ads,0.07,"$15,170.00",3.92,Houston,German,215,7505,8,Foodies,2021-07-14
22826,NexGen Systems,Influencer,Women 25-34,60 days,Website,0.13,"$13,508.00",4.94,New York,German,800,3593,5,Foodies,2021-07-15
22827,NexGen Systems,Display,Men 25-34,45 days,YouTube,0.09,"$17,158.00",2.31,Los Angeles,Mandarin,754,7749,10,Foodies,2021-07-16
22828,TechCorp,Search,Women 25-34,45 days,Instagram,0.12,"$11,218.00",4.77,Chicago,German,619,3318,2,Fashionistas,2021-07-17
22829,Alpha Innovations,Email,All Ages,45 days,Website,0.08,"$15,690.00",7.54,New York,Spanish,311,1466,1,Foodies,2021-07-18
22830,Innovate Industries,Search,Women 35-44,60 days,Google Ads,0.13,"$17,668.00",4.09,Houston,German,752,1401,9,Outdoor Adventurers,2021-07-19
22831,NexGen Systems,Email,Women 25-34,60 days,Email,0.02,"$8,192.00",4.13,New York,French,363,7911,2,Fashionistas,2021-07-20
22832,Alpha Innovations,Email,All Ages,15 days,YouTube,0.03,"$12,707.00",3.73,Miami,Mandarin,713,8214,2,Outdoor Adventurers,2021-07-21
22833,NexGen Systems,Search,All Ages,15 days,Google Ads,0.02,"$13,155.00",3.67,Houston,English,434,3614,6,Foodies,2021-07-22
22834,NexGen Systems,Search,Men 25-34,30 days,YouTube,0.14,"$6,748.00",3.8,Los Angeles,German,146,5799,3,Health & Wellness,2021-07-23
22835,NexGen Systems,Email,All Ages,45 days,Instagram,0.12,"$18,932.00",3.33,Los Angeles,German,128,6455,9,Tech Enthusiasts,2021-07-24
22836,Alpha Innovations,Social Media,All Ages,15 days,Instagram,0.07,"$13,480.00",2.7,New York,Mandarin,922,3887,1,Fashionistas,2021-07-25
22837,TechCorp,Social Media,Men 25-34,15 days,Google Ads,0.05,"$10,541.00",2.37,Miami,German,989,9429,5,Tech Enthusiasts,2021-07-26
22838,DataTech Solutions,Influencer,Women 35-44,30 days,YouTube,0.01,"$6,984.00",4.41,Los Angeles,French,391,4665,4,Outdoor Adventurers,2021-07-27
22839,DataTech Solutions,Influencer,Women 35-44,30 days,Google Ads,0.02,"$14,519.00",3.9,Miami,Mandarin,634,6728,10,Foodies,2021-07-28
22840,Alpha Innovations,Search,Men 25-34,45 days,YouTube,0.11,"$13,691.00",2.34,Miami,Spanish,969,2963,5,Foodies,2021-07-29
22841,TechCorp,Social Media,Women 25-34,30 days,Google Ads,0.13,"$13,964.00",5.83,Miami,French,554,3748,1,Tech Enthusiasts,2021-07-30
22842,TechCorp,Email,All Ages,45 days,Facebook,0.13,"$15,168.00",7.21,Los Angeles,English,907,3670,9,Foodies,2021-07-31
22843,NexGen Systems,Social Media,Women 25-34,15 days,Google Ads,0.06,"$16,646.00",4.19,Los Angeles,English,464,3835,7,Fashionistas,2021-08-01
22844,Innovate Industries,Search,Women 25-34,60 days,Instagram,0.06,"$12,789.00",3.08,Houston,English,851,8856,5,Health & Wellness,2021-08-02
22845,Alpha Innovations,Influencer,Women 35-44,15 days,Google Ads,0.04,"$10,862.00",7.65,New York,German,512,3503,3,Fashionistas,2021-08-03
22846,Innovate Industries,Influencer,Men 25-34,45 days,Facebook,0.11,"$10,348.00",5.44,Miami,Mandarin,740,6251,6,Health & Wellness,2021-08-04
22847,TechCorp,Social Media,Men 25-34,15 days,Instagram,0.06,"$9,749.00",6.53,Miami,Spanish,420,4505,1,Tech Enthusiasts,2021-08-05
22848,TechCorp,Influencer,Men 25-34,60 days,Facebook,0.11,"$9,044.00",6.97,New York,Mandarin,623,8872,1,Tech Enthusiasts,2021-08-06
22849,Alpha Innovations,Email,Men 18-24,60 days,Instagram,0.01,"$5,502.00",2.83,Chicago,French,167,5198,8,Foodies,2021-08-07
22850,DataTech Solutions,Display,Men 18-24,15 days,Website,0.1,"$7,767.00",5.0,Chicago,Spanish,612,3932,9,Foodies,2021-08-08
22851,TechCorp,Search,Women 35-44,30 days,Google Ads,0.14,"$18,856.00",3.92,Miami,Mandarin,780,7060,6,Fashionistas,2021-08-09
22852,Alpha Innovations,Social Media,All Ages,60 days,Website,0.13,"$13,307.00",2.79,Miami,German,779,4240,5,Tech Enthusiasts,2021-08-10
22853,Innovate Industries,Display,Women 35-44,45 days,YouTube,0.11,"$13,357.00",6.41,Houston,French,459,5040,3,Foodies,2021-08-11
22854,Innovate Industries,Email,Men 18-24,45 days,Email,0.05,"$17,665.00",4.44,Miami,Spanish,147,8692,2,Outdoor Adventurers,2021-08-12
22855,TechCorp,Influencer,Men 18-24,45 days,Email,0.01,"$12,507.00",2.29,Miami,German,241,2327,9,Health & Wellness,2021-08-13
22856,DataTech Solutions,Email,Men 18-24,45 days,YouTube,0.08,"$18,620.00",2.86,Miami,English,965,7899,5,Health & Wellness,2021-08-14
22857,NexGen Systems,Search,Women 35-44,45 days,Instagram,0.05,"$12,463.00",2.5,Houston,English,281,8560,5,Health & Wellness,2021-08-15
22858,Innovate Industries,Search,Women 35-44,30 days,Website,0.08,"$6,145.00",3.68,Houston,Mandarin,322,2292,8,Health & Wellness,2021-08-16
22859,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,0.01,"$15,526.00",6.39,New York,French,351,6374,6,Fashionistas,2021-08-17
22860,Innovate Industries,Display,All Ages,60 days,Website,0.06,"$8,913.00",4.06,Houston,Mandarin,570,7281,8,Fashionistas,2021-08-18
22861,Alpha Innovations,Display,Women 25-34,15 days,Instagram,0.09,"$13,033.00",3.61,Chicago,German,232,6546,5,Fashionistas,2021-08-19
22862,Innovate Industries,Influencer,Men 18-24,60 days,Website,0.03,"$10,799.00",3.06,Miami,German,778,5574,9,Outdoor Adventurers,2021-08-20
22863,NexGen Systems,Search,Women 25-34,15 days,Email,0.11,"$12,833.00",2.26,New York,English,105,9448,7,Health & Wellness,2021-08-21
22864,Innovate Industries,Influencer,Men 18-24,60 days,YouTube,0.08,"$12,130.00",7.86,New York,English,869,9006,5,Tech Enthusiasts,2021-08-22
22865,DataTech Solutions,Search,Women 35-44,30 days,YouTube,0.08,"$7,231.00",6.22,Chicago,Spanish,1000,4564,2,Fashionistas,2021-08-23
22866,DataTech Solutions,Display,All Ages,30 days,YouTube,0.1,"$5,237.00",6.64,Chicago,German,965,7703,3,Foodies,2021-08-24
22867,Alpha Innovations,Influencer,Men 25-34,45 days,Website,0.11,"$12,780.00",6.0,Los Angeles,Spanish,404,6085,3,Foodies,2021-08-25
22868,TechCorp,Influencer,Women 35-44,30 days,Google Ads,0.07,"$13,984.00",3.12,Los Angeles,English,829,6135,6,Fashionistas,2021-08-26
22869,Alpha Innovations,Influencer,Women 35-44,30 days,Website,0.07,"$15,091.00",3.59,New York,French,764,7683,3,Outdoor Adventurers,2021-08-27
22870,Alpha Innovations,Email,Men 25-34,60 days,Facebook,0.13,"$5,602.00",4.44,Chicago,German,595,1077,6,Foodies,2021-08-28
22871,TechCorp,Email,Women 25-34,60 days,Google Ads,0.04,"$16,887.00",6.48,New York,French,634,1325,3,Outdoor Adventurers,2021-08-29
22872,Innovate Industries,Email,All Ages,45 days,Google Ads,0.01,"$6,667.00",7.84,Los Angeles,English,524,6639,1,Outdoor Adventurers,2021-08-30
22873,TechCorp,Email,Women 25-34,30 days,Website,0.15,"$18,961.00",2.59,Houston,English,986,8806,10,Health & Wellness,2021-08-31
22874,DataTech Solutions,Search,Women 25-34,60 days,Google Ads,0.15,"$10,383.00",3.55,New York,Spanish,482,2569,5,Fashionistas,2021-09-01
22875,Alpha Innovations,Display,Women 25-34,30 days,Facebook,0.09,"$11,268.00",4.21,Houston,English,133,1093,10,Health & Wellness,2021-09-02
22876,DataTech Solutions,Email,Women 35-44,15 days,Facebook,0.07,"$9,434.00",3.13,Houston,German,819,1187,4,Health & Wellness,2021-09-03
22877,NexGen Systems,Email,Women 35-44,15 days,Website,0.08,"$15,720.00",2.02,Miami,French,783,4745,8,Fashionistas,2021-09-04
22878,TechCorp,Email,Women 25-34,15 days,Website,0.02,"$6,327.00",7.68,Chicago,French,338,3952,2,Fashionistas,2021-09-05
22879,Innovate Industries,Email,Women 25-34,30 days,YouTube,0.03,"$7,761.00",7.89,New York,English,952,2410,3,Fashionistas,2021-09-06
22880,NexGen Systems,Search,Women 25-34,45 days,Instagram,0.05,"$14,000.00",6.85,Chicago,French,847,8836,9,Foodies,2021-09-07
22881,NexGen Systems,Influencer,Women 35-44,45 days,Facebook,0.04,"$10,776.00",2.35,Chicago,German,399,8985,7,Outdoor Adventurers,2021-09-08
22882,NexGen Systems,Display,Women 35-44,30 days,Instagram,0.15,"$17,925.00",4.26,New York,German,980,6953,3,Tech Enthusiasts,2021-09-09
22883,TechCorp,Display,All Ages,45 days,Instagram,0.02,"$16,849.00",3.44,Miami,Spanish,479,7923,9,Fashionistas,2021-09-10
22884,DataTech Solutions,Influencer,Women 25-34,15 days,Google Ads,0.06,"$17,661.00",6.33,New York,English,792,4228,3,Outdoor Adventurers,2021-09-11
22885,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.02,"$11,023.00",3.4,Chicago,Spanish,955,9534,5,Fashionistas,2021-09-12
22886,DataTech Solutions,Search,Women 35-44,45 days,YouTube,0.07,"$11,377.00",6.53,Houston,French,563,8880,6,Health & Wellness,2021-09-13
22887,Innovate Industries,Influencer,All Ages,60 days,Google Ads,0.09,"$15,811.00",5.21,New York,Spanish,148,1238,5,Fashionistas,2021-09-14
22888,NexGen Systems,Search,Women 35-44,45 days,Google Ads,0.02,"$19,130.00",6.05,Miami,French,561,4889,5,Foodies,2021-09-15
22889,TechCorp,Search,Women 35-44,45 days,YouTube,0.09,"$15,918.00",6.89,Miami,German,683,1664,1,Tech Enthusiasts,2021-09-16
22890,DataTech Solutions,Display,Women 25-34,45 days,Facebook,0.11,"$17,100.00",5.49,Los Angeles,French,416,4276,10,Outdoor Adventurers,2021-09-17
22891,Alpha Innovations,Social Media,Women 35-44,60 days,YouTube,0.09,"$18,061.00",2.37,Houston,Mandarin,682,3238,9,Outdoor Adventurers,2021-09-18
22892,Alpha Innovations,Display,Men 25-34,45 days,YouTube,0.04,"$11,391.00",2.38,Chicago,French,266,7463,9,Tech Enthusiasts,2021-09-19
22893,NexGen Systems,Influencer,Women 25-34,45 days,Instagram,0.05,"$8,820.00",5.53,Chicago,German,570,3234,9,Health & Wellness,2021-09-20
22894,TechCorp,Influencer,Women 35-44,45 days,Email,0.08,"$13,885.00",4.65,Miami,French,932,2407,1,Health & Wellness,2021-09-21
22895,Innovate Industries,Influencer,Women 35-44,30 days,YouTube,0.1,"$5,461.00",6.54,New York,German,277,4903,3,Foodies,2021-09-22
22896,NexGen Systems,Influencer,Women 35-44,15 days,Google Ads,0.07,"$19,503.00",6.3,New York,English,964,5930,6,Health & Wellness,2021-09-23
22897,TechCorp,Influencer,Women 25-34,30 days,Facebook,0.08,"$9,955.00",3.98,Chicago,German,906,4763,8,Health & Wellness,2021-09-24
22898,DataTech Solutions,Email,Men 25-34,30 days,Facebook,0.07,"$5,879.00",6.38,Los Angeles,Mandarin,416,5106,1,Health & Wellness,2021-09-25
22899,TechCorp,Email,Men 25-34,15 days,Email,0.1,"$15,970.00",5.14,Miami,German,846,2754,9,Outdoor Adventurers,2021-09-26
22900,TechCorp,Email,All Ages,45 days,Instagram,0.07,"$17,626.00",7.47,Chicago,German,257,6731,2,Fashionistas,2021-09-27
22901,DataTech Solutions,Email,All Ages,30 days,Facebook,0.03,"$9,242.00",3.48,Miami,Spanish,310,9795,1,Fashionistas,2021-09-28
22902,Alpha Innovations,Email,Women 35-44,60 days,Email,0.06,"$12,539.00",6.82,New York,French,551,8562,6,Fashionistas,2021-09-29
22903,Alpha Innovations,Social Media,Women 25-34,60 days,Email,0.12,"$17,112.00",2.38,Chicago,English,548,9956,4,Fashionistas,2021-09-30
22904,Innovate Industries,Search,All Ages,30 days,YouTube,0.09,"$15,117.00",7.51,New York,English,887,5819,7,Tech Enthusiasts,2021-10-01
22905,Innovate Industries,Email,Men 25-34,15 days,Website,0.08,"$16,258.00",7.17,Chicago,German,293,7031,9,Outdoor Adventurers,2021-10-02
22906,DataTech Solutions,Social Media,Women 35-44,30 days,Email,0.06,"$19,563.00",3.5,New York,German,144,7872,9,Outdoor Adventurers,2021-10-03
22907,Alpha Innovations,Influencer,All Ages,60 days,YouTube,0.12,"$13,389.00",7.71,New York,French,983,5466,6,Fashionistas,2021-10-04
22908,TechCorp,Social Media,All Ages,60 days,YouTube,0.14,"$18,876.00",3.56,Miami,German,240,4734,3,Foodies,2021-10-05
22909,NexGen Systems,Email,Women 25-34,15 days,Google Ads,0.14,"$8,895.00",4.89,Los Angeles,Spanish,561,1831,9,Fashionistas,2021-10-06
22910,DataTech Solutions,Influencer,Men 18-24,30 days,Website,0.01,"$14,242.00",7.17,New York,English,310,4399,8,Health & Wellness,2021-10-07
22911,TechCorp,Social Media,All Ages,15 days,Facebook,0.13,"$6,617.00",2.44,Miami,Spanish,426,7902,10,Foodies,2021-10-08
22912,NexGen Systems,Email,All Ages,30 days,Email,0.05,"$17,040.00",6.84,Miami,English,478,5943,3,Outdoor Adventurers,2021-10-09
22913,Innovate Industries,Social Media,Men 18-24,45 days,Google Ads,0.05,"$13,521.00",4.88,New York,Spanish,152,5612,9,Health & Wellness,2021-10-10
22914,TechCorp,Display,Men 25-34,45 days,YouTube,0.05,"$14,763.00",2.29,Houston,German,173,2238,2,Foodies,2021-10-11
22915,TechCorp,Display,Women 35-44,15 days,Website,0.02,"$8,590.00",2.59,Chicago,Mandarin,218,7127,6,Health & Wellness,2021-10-12
22916,Alpha Innovations,Search,Women 35-44,30 days,Instagram,0.05,"$11,704.00",7.77,Chicago,Spanish,679,3822,3,Foodies,2021-10-13
22917,DataTech Solutions,Email,Men 25-34,30 days,Email,0.07,"$16,488.00",2.32,Houston,Mandarin,515,8225,7,Fashionistas,2021-10-14
22918,TechCorp,Influencer,Men 18-24,45 days,Google Ads,0.03,"$19,425.00",6.87,Chicago,Spanish,303,8281,4,Fashionistas,2021-10-15
22919,NexGen Systems,Email,Men 25-34,60 days,Facebook,0.12,"$7,231.00",3.64,Houston,French,276,9666,6,Health & Wellness,2021-10-16
22920,Innovate Industries,Email,Men 18-24,60 days,Website,0.12,"$9,161.00",6.83,Houston,Mandarin,150,1019,6,Outdoor Adventurers,2021-10-17
22921,Alpha Innovations,Search,Women 25-34,45 days,Email,0.03,"$6,096.00",6.96,New York,German,114,4162,6,Foodies,2021-10-18
22922,NexGen Systems,Search,Women 25-34,15 days,Email,0.05,"$17,215.00",6.26,New York,German,974,5990,3,Outdoor Adventurers,2021-10-19
22923,Alpha Innovations,Search,Women 35-44,60 days,Email,0.14,"$12,864.00",4.2,Houston,French,700,9642,8,Foodies,2021-10-20
22924,DataTech Solutions,Display,Women 35-44,45 days,YouTube,0.03,"$7,345.00",2.43,Houston,German,221,6447,7,Health & Wellness,2021-10-21
22925,NexGen Systems,Search,All Ages,45 days,Google Ads,0.04,"$12,303.00",7.01,Houston,Mandarin,285,3358,4,Health & Wellness,2021-10-22
22926,NexGen Systems,Social Media,Men 25-34,15 days,Email,0.13,"$11,845.00",7.93,Chicago,French,823,6646,10,Outdoor Adventurers,2021-10-23
22927,Alpha Innovations,Social Media,All Ages,15 days,Google Ads,0.1,"$17,569.00",7.02,Miami,French,907,7669,6,Health & Wellness,2021-10-24
22928,DataTech Solutions,Influencer,Women 35-44,45 days,Google Ads,0.15,"$10,512.00",5.88,Miami,English,206,7848,7,Outdoor Adventurers,2021-10-25
22929,TechCorp,Influencer,Women 25-34,45 days,Google Ads,0.12,"$8,804.00",7.89,Los Angeles,Spanish,948,3037,9,Tech Enthusiasts,2021-10-26
22930,Alpha Innovations,Social Media,All Ages,45 days,Facebook,0.03,"$18,565.00",3.32,Los Angeles,Mandarin,839,1846,4,Foodies,2021-10-27
22931,Innovate Industries,Search,Women 25-34,60 days,Google Ads,0.14,"$5,259.00",5.22,Los Angeles,Spanish,794,2797,6,Health & Wellness,2021-10-28
22932,Innovate Industries,Email,Women 25-34,45 days,YouTube,0.06,"$14,977.00",6.67,Chicago,Mandarin,492,8657,10,Outdoor Adventurers,2021-10-29
22933,NexGen Systems,Email,Men 18-24,60 days,Email,0.14,"$18,453.00",4.53,Los Angeles,German,702,8999,1,Outdoor Adventurers,2021-10-30
22934,Alpha Innovations,Social Media,All Ages,15 days,Instagram,0.04,"$10,745.00",3.71,Los Angeles,French,424,3764,8,Tech Enthusiasts,2021-10-31
22935,NexGen Systems,Display,Men 25-34,45 days,Email,0.12,"$15,532.00",6.62,Miami,French,248,4043,1,Outdoor Adventurers,2021-11-01
22936,Innovate Industries,Search,Women 25-34,60 days,Email,0.11,"$19,974.00",2.17,Miami,German,361,4761,5,Health & Wellness,2021-11-02
22937,TechCorp,Display,Men 18-24,30 days,Facebook,0.05,"$12,581.00",3.89,Chicago,English,788,8205,8,Foodies,2021-11-03
22938,Alpha Innovations,Display,Men 25-34,15 days,YouTube,0.03,"$7,205.00",5.72,Miami,German,192,3181,1,Foodies,2021-11-04
22939,Innovate Industries,Search,All Ages,15 days,Google Ads,0.13,"$12,498.00",3.75,Houston,Mandarin,225,1127,3,Outdoor Adventurers,2021-11-05
22940,NexGen Systems,Social Media,Women 35-44,30 days,Website,0.1,"$9,700.00",5.39,Chicago,Spanish,970,7481,1,Health & Wellness,2021-11-06
22941,TechCorp,Influencer,Women 25-34,45 days,Google Ads,0.08,"$7,816.00",4.09,Chicago,French,234,5088,3,Foodies,2021-11-07
22942,Alpha Innovations,Social Media,Men 18-24,15 days,Facebook,0.07,"$7,329.00",2.65,New York,English,213,8437,2,Health & Wellness,2021-11-08
22943,Innovate Industries,Display,Women 35-44,60 days,Email,0.12,"$9,387.00",5.27,New York,English,879,6360,6,Foodies,2021-11-09
22944,Innovate Industries,Search,Men 18-24,30 days,Email,0.11,"$8,813.00",6.86,Los Angeles,French,692,2326,1,Foodies,2021-11-10
22945,TechCorp,Display,Women 25-34,15 days,Facebook,0.06,"$5,455.00",6.57,New York,Spanish,651,1447,1,Health & Wellness,2021-11-11
22946,Alpha Innovations,Social Media,All Ages,30 days,Website,0.13,"$8,159.00",7.52,Los Angeles,German,660,6599,6,Foodies,2021-11-12
22947,Alpha Innovations,Social Media,Women 25-34,30 days,Email,0.03,"$5,878.00",2.87,Miami,Spanish,334,2499,2,Health & Wellness,2021-11-13
22948,Innovate Industries,Email,Women 25-34,15 days,Facebook,0.05,"$17,649.00",2.57,Miami,Mandarin,224,4988,3,Outdoor Adventurers,2021-11-14
22949,TechCorp,Display,Men 25-34,60 days,Website,0.03,"$8,959.00",6.62,Los Angeles,French,985,3039,4,Health & Wellness,2021-11-15
22950,NexGen Systems,Search,Women 25-34,30 days,Instagram,0.14,"$15,355.00",4.79,Houston,German,906,3960,2,Foodies,2021-11-16
22951,DataTech Solutions,Email,Men 25-34,60 days,Instagram,0.02,"$19,406.00",5.97,Miami,German,768,2182,1,Health & Wellness,2021-11-17
22952,Alpha Innovations,Social Media,Women 35-44,15 days,YouTube,0.09,"$13,935.00",5.53,Miami,German,425,9896,6,Tech Enthusiasts,2021-11-18
22953,Alpha Innovations,Search,Men 18-24,15 days,Website,0.02,"$9,614.00",5.79,Houston,French,276,9947,8,Fashionistas,2021-11-19
22954,DataTech Solutions,Influencer,Men 18-24,15 days,Website,0.1,"$8,963.00",3.04,Miami,French,446,2439,6,Outdoor Adventurers,2021-11-20
22955,DataTech Solutions,Social Media,Women 25-34,30 days,Facebook,0.07,"$5,664.00",4.25,New York,Spanish,420,8627,1,Fashionistas,2021-11-21
22956,Alpha Innovations,Display,Women 35-44,45 days,Instagram,0.14,"$8,182.00",7.71,Houston,Spanish,689,2126,1,Outdoor Adventurers,2021-11-22
22957,TechCorp,Social Media,Women 25-34,60 days,Website,0.01,"$5,145.00",2.81,Chicago,Mandarin,798,8111,4,Fashionistas,2021-11-23
22958,NexGen Systems,Social Media,Men 25-34,30 days,Email,0.13,"$15,443.00",2.37,Chicago,French,886,8940,8,Outdoor Adventurers,2021-11-24
22959,NexGen Systems,Email,Men 25-34,15 days,Google Ads,0.11,"$12,782.00",5.83,Los Angeles,Mandarin,414,9352,2,Outdoor Adventurers,2021-11-25
22960,TechCorp,Email,Men 18-24,45 days,YouTube,0.02,"$19,419.00",3.91,New York,German,210,9341,10,Fashionistas,2021-11-26
22961,Alpha Innovations,Search,All Ages,45 days,Instagram,0.13,"$19,908.00",6.98,Houston,English,688,6022,3,Health & Wellness,2021-11-27
22962,NexGen Systems,Social Media,Women 25-34,15 days,YouTube,0.02,"$7,263.00",7.73,Los Angeles,Spanish,150,4126,6,Foodies,2021-11-28
22963,TechCorp,Email,Women 35-44,60 days,Email,0.02,"$17,242.00",5.95,New York,French,181,6646,7,Health & Wellness,2021-11-29
22964,DataTech Solutions,Influencer,Men 18-24,60 days,Google Ads,0.03,"$5,900.00",5.5,Miami,Spanish,198,1468,5,Tech Enthusiasts,2021-11-30
22965,TechCorp,Influencer,All Ages,30 days,Email,0.12,"$17,373.00",7.26,New York,Mandarin,173,1973,9,Foodies,2021-12-01
22966,DataTech Solutions,Display,Men 18-24,60 days,Google Ads,0.13,"$5,996.00",3.59,Houston,Spanish,742,4087,6,Fashionistas,2021-12-02
22967,Innovate Industries,Display,Women 35-44,15 days,Email,0.13,"$9,491.00",4.36,Miami,Spanish,292,1760,8,Health & Wellness,2021-12-03
22968,TechCorp,Email,All Ages,15 days,Facebook,0.14,"$12,045.00",3.0,Los Angeles,French,319,6870,3,Health & Wellness,2021-12-04
22969,TechCorp,Display,Women 25-34,60 days,YouTube,0.11,"$9,670.00",2.98,Chicago,Mandarin,191,7326,10,Fashionistas,2021-12-05
22970,NexGen Systems,Search,Men 18-24,60 days,Email,0.07,"$19,749.00",6.08,Los Angeles,French,195,3981,10,Fashionistas,2021-12-06
22971,TechCorp,Search,Men 18-24,60 days,Email,0.15,"$12,389.00",7.35,Houston,French,254,9524,5,Fashionistas,2021-12-07
22972,Innovate Industries,Email,Men 25-34,30 days,Facebook,0.05,"$7,624.00",3.04,New York,German,126,8262,10,Outdoor Adventurers,2021-12-08
22973,NexGen Systems,Social Media,Men 18-24,45 days,Email,0.11,"$8,704.00",4.46,Houston,French,692,1500,4,Foodies,2021-12-09
22974,TechCorp,Search,All Ages,45 days,Website,0.13,"$11,091.00",2.04,Los Angeles,Spanish,871,7055,5,Outdoor Adventurers,2021-12-10
22975,NexGen Systems,Email,Women 25-34,30 days,Google Ads,0.06,"$13,047.00",2.89,Chicago,German,148,4837,7,Outdoor Adventurers,2021-12-11
22976,DataTech Solutions,Email,All Ages,30 days,Google Ads,0.09,"$19,139.00",6.84,Los Angeles,Mandarin,624,2098,8,Health & Wellness,2021-12-12
22977,Innovate Industries,Email,All Ages,45 days,YouTube,0.04,"$18,144.00",6.63,Chicago,English,236,2298,10,Tech Enthusiasts,2021-12-13
22978,NexGen Systems,Display,Women 35-44,60 days,Facebook,0.02,"$13,518.00",4.27,Miami,German,703,4808,5,Health & Wellness,2021-12-14
22979,NexGen Systems,Social Media,Men 25-34,60 days,YouTube,0.05,"$13,698.00",5.39,Miami,French,587,8376,10,Outdoor Adventurers,2021-12-15
22980,DataTech Solutions,Display,Women 35-44,60 days,Google Ads,0.01,"$8,017.00",4.2,New York,German,819,1812,7,Fashionistas,2021-12-16
22981,DataTech Solutions,Search,Women 35-44,15 days,Facebook,0.02,"$7,260.00",4.78,New York,French,954,6105,6,Fashionistas,2021-12-17
22982,Innovate Industries,Search,Men 25-34,60 days,Facebook,0.12,"$18,840.00",3.41,New York,Mandarin,646,9374,9,Health & Wellness,2021-12-18
22983,NexGen Systems,Social Media,Men 18-24,45 days,Google Ads,0.04,"$11,483.00",4.97,Los Angeles,German,209,1427,7,Fashionistas,2021-12-19
22984,TechCorp,Influencer,All Ages,45 days,Email,0.04,"$11,742.00",3.79,New York,German,639,6965,9,Fashionistas,2021-12-20
22985,NexGen Systems,Email,Men 18-24,15 days,Facebook,0.09,"$14,193.00",4.04,Houston,English,340,2322,2,Outdoor Adventurers,2021-12-21
22986,Alpha Innovations,Search,Men 25-34,15 days,Instagram,0.13,"$10,899.00",7.04,Chicago,French,250,8781,8,Outdoor Adventurers,2021-12-22
22987,TechCorp,Email,All Ages,15 days,Google Ads,0.14,"$18,067.00",6.88,New York,Spanish,948,6082,5,Outdoor Adventurers,2021-12-23
22988,DataTech Solutions,Influencer,Women 35-44,60 days,Instagram,0.05,"$14,616.00",3.1,New York,German,696,3452,9,Fashionistas,2021-12-24
22989,TechCorp,Influencer,All Ages,60 days,Google Ads,0.12,"$16,871.00",3.03,Miami,German,783,1546,4,Health & Wellness,2021-12-25
22990,Innovate Industries,Social Media,All Ages,60 days,Instagram,0.11,"$9,021.00",5.45,New York,Mandarin,674,7847,4,Foodies,2021-12-26
22991,Alpha Innovations,Search,Men 18-24,45 days,Website,0.03,"$17,129.00",2.94,Chicago,German,156,2460,3,Outdoor Adventurers,2021-12-27
22992,Alpha Innovations,Search,All Ages,30 days,Google Ads,0.15,"$14,419.00",3.48,Houston,French,416,4437,5,Health & Wellness,2021-12-28
22993,Innovate Industries,Email,All Ages,60 days,Email,0.06,"$6,573.00",3.64,New York,English,855,7953,6,Fashionistas,2021-12-29
22994,TechCorp,Search,Men 25-34,45 days,Email,0.12,"$19,744.00",2.86,Chicago,Mandarin,670,1965,8,Health & Wellness,2021-12-30
22995,TechCorp,Social Media,All Ages,60 days,Website,0.15,"$5,365.00",5.55,Miami,German,208,8313,8,Tech Enthusiasts,2021-12-31
22996,NexGen Systems,Search,Men 25-34,60 days,Instagram,0.07,"$11,033.00",6.55,New York,English,563,4355,1,Fashionistas,2021-01-01
22997,Innovate Industries,Search,All Ages,15 days,Email,0.14,"$13,332.00",4.01,Los Angeles,French,229,1437,8,Fashionistas,2021-01-02
22998,NexGen Systems,Email,Women 35-44,60 days,Instagram,0.1,"$11,654.00",4.92,Miami,French,749,8042,1,Health & Wellness,2021-01-03
22999,DataTech Solutions,Influencer,Women 25-34,60 days,Facebook,0.11,"$6,881.00",6.1,New York,English,169,4188,7,Foodies,2021-01-04
23000,Alpha Innovations,Display,Women 25-34,30 days,Website,0.02,"$17,410.00",2.68,Miami,French,184,5979,9,Tech Enthusiasts,2021-01-05
23001,Alpha Innovations,Email,Women 35-44,30 days,Google Ads,0.03,"$5,425.00",3.44,New York,Spanish,559,6201,4,Tech Enthusiasts,2021-01-06
23002,NexGen Systems,Social Media,Men 18-24,30 days,Website,0.1,"$17,153.00",7.48,Chicago,English,519,9471,6,Fashionistas,2021-01-07
23003,NexGen Systems,Email,Men 25-34,60 days,Email,0.09,"$7,618.00",5.25,Chicago,Spanish,334,1342,1,Health & Wellness,2021-01-08
23004,TechCorp,Email,Men 18-24,30 days,Instagram,0.09,"$17,408.00",4.91,Miami,English,570,2686,3,Foodies,2021-01-09
